,moviename,year,description,cast,imdb_rating,imdb_ratingbasedon,tomatoes_audscore,tomatoes_rating,tomatoes_ratingbasedon,rank
54,The Great Dictator,1940,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.4,"176,008",,,,55
55,Sunset Blvd.,1950,"A screenwriter is hired to rework a faded silent film star's script, only to find himself developing a dangerous relationship.","Billy Wilder (dir.), William Holden, Gloria Swanson",8.4,"174,972",,,,56
56,The Lives of Others,2006,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.4,"316,245",,,,57
57,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",8.4,"407,775",,,,58
58,Avengers: Infinity War,2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",8.4,"583,332",,,,59
59,Paths of Glory,1957,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.4,"152,410",,,,60
60,The Shining,1980,"A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",8.4,"762,496",,,,61
61,Django Unchained,2012,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.4,"1,183,498",,,,62
62,WALL·E,2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.4,"886,349",,,,63
63,Princess Mononoke,1997,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",8.4,"286,954",94%,4.2/5,"221,634",64
